Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,17290947.86,2641159.63,8411500.00,6395,0,11800,0,11786,0,1800,0,201,0.48806012916542973,20088
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,374401739.04,39105159.12,61558250.00,135797,0,357932,0,207058,0,25812,0,1775,0.6992164094621246,254520
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1103041173.37,74334032.67,144569250.00,183045,0,101129,0,411473,0,56779,0,4185,0.7957074744754989,598728
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,11822474.85,441135657.42,1338897900.00,122098,26579,0,138670,0,240982,0,79035,9568,0.8165043597881148,795060
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,332690866.74,167947244.68,1376217000.00,150273,0,138194,0,249925,0,77015,0,9492,0.8429078285293007,764856
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,12038442.89,425297094.50,1423918900.00,118299,25622,0,135478,0,235459,0,75556,9514,0.8176297502206227,756312
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,12244199.73,418220533.03,1472078000.00,114396,25307,0,133787,0,232967,0,74257,9437,0.8177133445863378,743052
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,13539758.01,407219196.22,1525131300.00,113281,25325,0,132393,0,222169,0,74236,9431,0.8139825691781396,733932
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,11501848.96,408270068.51,1583577600.00,59040,78496,0,131551,0,226934,0,73048,9361,0.8123540595210108,727848
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,2385987565.35,0.00,0,379053,0,388342,0,617713,0,64645,555,2.212063713538772,208728
